t,x,y,z,a,
1.06E+13,1.3910311,-2.954445,1.7717092,3,acc
1.06E+13,0.49081135,0.095768064,-0.110133275,3,acc
1.06E+13,0.5363012,0.38307226,-0.25617957,3,acc
1.06E+13,0.7158663,0.5410896,-0.20111294,3,acc
1.06E+13,0.91219085,0.59615624,-0.17477672,3,acc
1.06E+13,1.1085154,0.5434838,-0.24899697,3,acc
1.06E+13,0.7326257,0.50757074,-0.30406362,3,acc
1.06E+13,-0.25139117,0.50278234,-0.14604631,3,acc
1.06E+13,-1.151611,0.33039984,0.062249243,3,acc
1.06E+13,-1.3024458,0.22984336,0.19871874,3,acc
1.06E+13,-0.85473,0.10295067,0.30166942,3,acc
1.06E+13,-0.3878607,-0.1364695,0.49320555,3,acc
1.06E+13,0.007182605,-0.4189853,0.7015011,3,acc
1.06E+13,0.2753332,-0.46208093,0.7254431,3,acc
1.06E+13,0.20111294,-0.59136784,0.7086837,3,acc
1.06E+13,-0.031124622,-0.6943185,0.6392518,3,acc
1.06E+13,-0.2896984,-0.39504328,0.4309563,3,acc
1.06E+13,-0.18914193,-0.24420857,0.045489833,3,acc
1.06E+13,0.08140286,-0.18195933,-0.059855044,3,acc
1.06E+13,0.062249243,-0.30166942,0.1364695,3,acc
1.06E+13,-0.076614454,-0.48841715,0.31603462,3,acc
1.06E+13,-0.25139117,-0.81163436,0.36391866,3,acc
1.06E+13,-0.09816227,-1.0390835,0.260968,3,acc
1.06E+13,0.11731588,-1.1683705,0.30406362,3,acc
1.06E+13,-0.10534488,-1.496376,0.37110126,3,acc
1.06E+13,-0.29927522,-1.8052281,0.49320555,3,acc
1.06E+13,-0.58897364,-2.042254,0.36152446,3,acc
1.06E+13,-0.92176765,-2.645593,0.18435353,3,acc
1.06E+13,-1.1971009,-3.2992098,0.12449849,3,acc
1.06E+13,-1.0702082,-4.0821137,0.22744916,3,acc
1.06E+13,-0.45250413,-4.7788267,0.12689269,3,acc
1.06E+13,0.49320555,-5.2002063,0.079008654,3,acc
1.06E+13,1.8746599,-5.6359506,-0.002394202,3,acc
1.06E+13,3.4237084,-5.920861,0.61291564,3,acc
1.06E+13,4.8386817,-5.645528,1.3072342,3,acc
1.06E+13,6.579266,-5.185841,3.4811692,3,acc
1.06E+13,9.114726,-4.711789,5.650316,3,acc
1.06E+13,10.589554,-5.427655,5.130774,3,acc
1.06E+13,8.257602,-6.05733,2.456451,3,acc
1.06E+13,2.7102363,-7.795521,0.8451532,3,acc
1.06E+13,-0.5674258,-9.598354,0.7350199,3,acc
1.06E+13,-3.8953662,-10.395624,1.2689269,3,acc
1.06E+13,-12.1840925,-16.077065,2.8921957,3,acc
1.06E+13,-20.60929,-22.594082,3.6032736,3,acc
1.06E+13,-21.523872,-19.285295,-0.6823475,3,acc
1.06E+13,-23.238121,-16.440983,-3.1747115,3,acc
1.06E+13,-27.202919,-16.424223,-2.0518308,3,acc
1.06E+13,-25.017014,-8.791509,-4.618415,3,acc
1.06E+13,-18.768147,0.05267244,-6.423643,3,acc
1.06E+13,-14.137761,5.221754,-7.2951326,3,acc
1.06E+13,-9.89763,7.9750857,-8.365341,3,acc
1.06E+13,-7.422025,11.805809,-10.232818,3,acc
1.06E+13,-5.8226986,13.65892,-11.496957,3,acc
1.06E+13,-5.303157,15.734694,-11.247959,3,acc
1.06E+13,-5.070919,16.94616,-11.456255,3,acc
1.06E+13,-4.6232033,16.953342,-11.439496,3,acc
1.06E+13,-4.177882,15.660473,-11.604695,3,acc
1.06E+13,-3.4261026,14.281413,-10.539276,3,acc
