t,x,y,z,a,
8.35E+12,0.12210429,0.21787235,0.16759412,3,acc
8.35E+12,0.23942018,0.038307227,0.004788403,3,acc
8.35E+12,0.28491,0.12689269,-0.08619126,3,acc
8.35E+12,0.18914193,0.021547815,-0.02873042,3,acc
8.35E+12,0.088585466,0.088585466,-0.019153614,3,acc
8.35E+12,0.05267244,0.10295067,0,3,acc
8.35E+12,0.093373865,-0.035913024,0.007182605,3,acc
8.35E+12,0.1388637,-0.023942016,0.023942016,3,acc
8.35E+12,0.17717093,-0.05746084,0.18435353,3,acc
8.35E+12,0.10055647,-0.14844051,0.21308395,3,acc
8.35E+12,0.18435353,-0.28491,0.20350714,3,acc
8.35E+12,0.32800564,-0.35194764,0.1604115,3,acc
8.35E+12,0.39025488,-0.24420857,0.15083471,3,acc
8.35E+12,0.19153613,-0.15801731,0.22266077,3,acc
8.35E+12,0.08140286,-0.14604631,0.21068975,3,acc
8.35E+12,0.33039984,-0.11492168,0.12928689,3,acc
8.35E+12,0.4237737,-0.10534488,0.110133275,3,acc
8.35E+12,0.33518824,-0.12210429,0.10055647,3,acc
8.35E+12,0.37349546,-0.074220255,0.110133275,3,acc
8.35E+12,0.35434186,-0.06703765,0.07182605,3,acc
8.35E+12,0.19393034,-0.08379706,0.05746084,3,acc
8.35E+12,0.4381389,-0.14604631,0.031124622,3,acc
8.35E+12,0.91458505,-0.033518825,-0.06943185,3,acc
8.35E+12,1.3144168,0.009576807,-0.22744916,3,acc
8.35E+12,1.2880806,0.095768064,-0.2825158,3,acc
8.35E+12,1.3072342,0.18674773,-0.36391866,3,acc
8.35E+12,1.2737153,0.11971009,-0.45010993,3,acc
8.35E+12,1.0007763,0.1316811,-0.5506664,3,acc
8.35E+12,0.4141969,0.15562311,-0.5793968,3,acc
8.35E+12,-0.18914193,0.20111294,-0.39743748,3,acc
8.35E+12,-0.6584055,0.25857377,-0.4333505,3,acc
8.35E+12,-0.7326257,0.16759412,-0.3854665,3,acc
8.35E+12,-0.7062895,0.14604631,-0.10534488,3,acc
8.35E+12,-0.81642276,0.1316811,0.023942016,3,acc
8.35E+12,-0.9840169,0.1316811,0.20590134,3,acc
8.35E+12,-0.8331822,0.19393034,0.2896984,3,acc
8.35E+12,-0.7302315,0.24899697,0.34715924,3,acc
8.35E+12,-1.340753,0.15322891,0.5363012,3,acc
8.35E+12,-2.2026656,0.1604115,0.60812724,3,acc
8.35E+12,-2.516306,0.32321724,0.51714754,3,acc
8.35E+12,-1.6496049,0.37349546,0.4429273,3,acc
8.35E+12,-0.38307226,0.51954174,0.32800564,3,acc
8.35E+12,0.29927522,0.5243302,0.34715924,3,acc
8.35E+12,0.36391866,0.3184288,0.40701428,3,acc
8.35E+12,0.12689269,0.35434186,0.33758244,3,acc
8.35E+12,0.05267244,0.5267244,-0.1340753,3,acc
8.35E+12,0.055066638,0.80205756,-0.58657944,3,acc
8.35E+12,-0.07182605,0.91219085,-0.9576807,3,acc
8.35E+12,-0.12210429,0.79008657,-1.1755531,3,acc
8.35E+12,-0.055066638,0.4141969,-0.9552865,3,acc
8.35E+12,0.22505496,0.21787235,-0.6392518,3,acc
8.35E+12,0.33997664,-0.10295067,-0.37349546,3,acc
8.35E+12,0.35913026,-0.33039984,-0.1364695,3,acc
8.35E+12,0.47644615,-0.40701428,-0.088585466,3,acc
8.35E+12,0.59855044,-0.4285621,0.02873042,3,acc
8.35E+12,0.5554548,-0.16519992,-0.047884032,3,acc
8.35E+12,0.37828386,0.18674773,-0.12210429,3,acc
8.35E+12,0.23702596,0.15562311,-0.1436521,3,acc
8.36E+12,0.20350714,0.24899697,-0.02633622,3,acc
8.36E+12,0.2801216,0.23463176,0.07182605,3,acc
8.36E+12,0.21068975,0.11252748,0.19632454,3,acc
8.36E+12,-0.045489833,0.055066638,0.30645782,3,acc
8.36E+12,0.16759412,0.019153614,0.51954174,3,acc
8.36E+12,0.2777274,-0.08140286,0.51954174,3,acc
8.36E+12,0.17956513,-0.23463176,0.5530606,3,acc
8.36E+12,0.02633622,-0.15801731,0.49320555,3,acc
8.36E+12,0.02873042,-0.32321724,0.37349546,3,acc
8.36E+12,0.07182605,-0.2753332,0.36870706,3,acc
8.36E+12,0.1340753,-0.20590134,0.37588966,3,acc
8.36E+12,0.14844051,-0.21308395,0.33039984,3,acc
8.36E+12,0.15083471,-0.25378537,0.30885202,3,acc
8.36E+12,0.1604115,-0.260968,0.2753332,3,acc
8.36E+12,0.16519992,-0.2896984,0.23223756,3,acc
8.36E+12,0.30645782,-0.15801731,0.1340753,3,acc
8.36E+12,0.21787235,-0.095768064,0.04070143,3,acc
8.36E+12,0.095768064,-0.1388637,0.047884032,3,acc
8.36E+12,0.02633622,0.002394202,-0.04070143,3,acc
8.36E+12,0.110133275,0.011971008,-0.12928689,3,acc
8.36E+12,0.1364695,-0.045489833,-0.12928689,3,acc
8.36E+12,0.16998832,-0.1436521,-0.1604115,3,acc
8.36E+12,0.16280572,-0.12210429,-0.20829555,3,acc
8.36E+12,0.11252748,-0.14844051,-0.24899697,3,acc
8.36E+12,0.09816227,-0.15801731,-0.25857377,3,acc
8.36E+12,0.15562311,-0.23223756,-0.18914193,3,acc
8.36E+12,0.19393034,-0.08140286,-0.11971009,3,acc
8.36E+12,0.33039984,0.035913024,-0.10534488,3,acc
8.36E+12,0.30885202,-0.076614454,-0.08379706,3,acc
8.36E+12,0.39504328,-0.038307227,-0.04070143,3,acc
8.36E+12,0.39743748,-0.06703765,0.06703765,3,acc
8.36E+12,0.2753332,-0.10055647,0.093373865,3,acc
8.36E+12,0.32321724,-0.05746084,0.090979666,3,acc
8.36E+12,0.35673606,0.04070143,0.050278235,3,acc
8.36E+12,0.25617957,0.01436521,0.04309563,3,acc
8.36E+12,0.12928689,-0.007182605,0.07182605,3,acc
8.36E+12,-0.019153614,-0.033518825,0.035913024,3,acc
8.36E+12,-0.076614454,-0.07182605,-0.038307227,3,acc
8.36E+12,-0.06464344,-0.05267244,-0.09816227,3,acc
8.36E+12,-0.007182605,-0.15083471,-0.05746084,3,acc
8.36E+12,-0.08140286,-0.1436521,-0.035913024,3,acc
8.36E+12,0.019153614,-0.17477672,0.1388637,3,acc
8.36E+12,0.11971009,-0.08619126,0.21068975,3,acc
8.36E+12,0.09816227,0.09816227,0.17956513,3,acc
8.36E+12,-0.110133275,0.21068975,0.045489833,3,acc
8.36E+12,-0.031124622,0.31364042,-0.074220255,3,acc
8.36E+12,0.33997664,0.35434186,-0.19393034,3,acc
8.36E+12,0.35434186,0.25617957,-0.36391866,3,acc
8.36E+12,0.031124622,0.18674773,-0.4165911,3,acc
8.36E+12,0.02873042,0.17238252,-0.40940848,3,acc
8.36E+12,0.34715924,0.062249243,-0.2896984,3,acc
8.36E+12,0.50996494,0.016759412,-0.37110126,3,acc
8.36E+12,0.6919243,0.107739076,-0.40940848,3,acc
8.36E+12,0.7733272,0.12928689,-0.260968,3,acc
8.36E+12,0.82599956,0.09816227,-0.15083471,3,acc
8.36E+12,0.7158663,0.1388637,-0.16519992,3,acc
8.36E+12,0.6871359,0.20350714,-0.18674773,3,acc
8.36E+12,0.61770403,0.30406362,-0.15322891,3,acc
8.36E+12,0.5626374,0.2896984,-0.16519992,3,acc
8.36E+12,0.4261679,0.1388637,-0.272939,3,acc
8.36E+12,0.2705448,0.031124622,-0.31124622,3,acc
8.36E+12,0.23463176,0.04070143,-0.33997664,3,acc
8.36E+12,0.29448682,0.095768064,-0.32561144,3,acc
8.36E+12,0.533907,-0.009576807,-0.38307226,3,acc
8.36E+12,0.4213795,-0.007182605,-0.25857377,3,acc
8.36E+12,0.1364695,0.04070143,-0.24660277,3,acc
8.36E+12,-0.09816227,-0.07182605,-0.06703765,3,acc
8.36E+12,-0.23223756,-0.22026655,0.1364695,3,acc
8.36E+12,-0.1604115,-0.23942018,0.272939,3,acc
8.36E+12,-0.12210429,-0.20590134,0.320823,3,acc
8.36E+12,0,-0.107739076,0.20350714,3,acc
8.36E+12,0.1340753,0.107739076,0.1388637,3,acc
8.36E+12,0.2777274,0.095768064,0.1436521,3,acc
8.36E+12,0.15083471,0.059855044,0.18435353,3,acc
8.36E+12,-0.019153614,0.12210429,0.08140286,3,acc
8.36E+12,-0.090979666,0.24660277,-0.07182605,3,acc
8.36E+12,-0.11971009,0.24660277,-0.33997664,3,acc
8.36E+12,0.12928689,0.17477672,-0.39025488,3,acc
8.36E+12,0.51235914,0.1388637,-0.45489833,3,acc
8.36E+12,0.5746084,0.011971008,-0.4381389,3,acc
8.36E+12,0.22505496,-0.08619126,-0.40462008,3,acc
8.36E+12,0.15322891,0.02873042,-0.33758244,3,acc
8.36E+12,0.12928689,0.16280572,-0.35194764,3,acc
8.36E+12,0.2657564,0.260968,-0.31603462,3,acc
8.36E+12,0.28491,0.272939,-0.39504328,3,acc
8.36E+12,-0.18914193,0.34476504,-0.3184288,3,acc
8.36E+12,-0.4213795,0.2825158,-0.107739076,3,acc
8.36E+12,-0.39983168,0.19153613,-0.12210429,3,acc
8.36E+12,-0.79966336,0.1364695,-0.074220255,3,acc
8.36E+12,-1.3239936,-0.050278235,-0.15322891,3,acc
8.36E+12,-1.3790601,-0.05746084,-0.24181437,3,acc
8.36E+12,-0.8331822,-0.04309563,-0.45729253,3,acc
8.36E+12,-1.2234371,-0.20111294,-0.48841715,3,acc
8.36E+12,-2.1691468,-0.45968673,-0.36631286,3,acc
8.36E+12,-2.1452048,-0.6344634,-0.16519992,3,acc
8.36E+12,-1.1683705,-0.7757214,0.06943185,3,acc
8.36E+12,-0.29927522,-0.7757214,-0.04070143,3,acc
8.36E+12,0.059855044,-0.5793968,-0.22505496,3,acc
8.36E+12,0.30645782,-0.28491,-0.35673606,3,acc
8.36E+12,0.5482722,-0.29209262,-0.24660277,3,acc
8.36E+12,0.6847417,-0.20111294,-0.110133275,3,acc
8.36E+12,0.7038953,-0.107739076,-0.1340753,3,acc
8.36E+12,0.60573304,-0.04070143,-0.11252748,3,acc
8.36E+12,0.28491,-0.019153614,-0.1604115,3,acc
8.36E+12,0.16280572,0.031124622,-0.32321724,3,acc
8.36E+12,0.088585466,0.047884032,-0.38067806,3,acc
8.36E+12,0.16759412,0.090979666,-0.32800564,3,acc
8.36E+12,0.004788403,-0.035913024,-0.29927522,3,acc
8.36E+12,-0.059855044,-0.016759412,-0.1340753,3,acc
8.36E+12,-0.088585466,-0.25378537,-0.05746084,3,acc
8.36E+12,-0.016759412,-0.14844051,0.047884032,3,acc
8.36E+12,0.02633622,-0.14604631,0.16519992,3,acc
8.36E+12,0.19871874,-0.004788403,0.12928689,3,acc
8.36E+12,0.062249243,0.21547815,-0.011971008,3,acc
