t,x,y,z,a,
5.87E+14,0.44771573,-0.38307226,-0.40701428,3,acc
5.87E+14,0.16759412,0.076614454,-0.11492168,3,acc
5.87E+14,0.11971009,-0.007182605,-0.047884032,3,acc
5.87E+14,-0.033518825,-0.02633622,0.007182605,3,acc
5.87E+14,-0.19871874,-0.088585466,0.093373865,3,acc
5.87E+14,-0.2896984,-0.15562311,0.04309563,3,acc
5.87E+14,-0.29688102,-0.37828386,0.093373865,3,acc
5.87E+14,-0.36152446,-0.40462008,0.11492168,3,acc
5.87E+14,-0.29448682,-0.48602295,0.16519992,3,acc
5.87E+14,-0.32800564,-0.51954174,0.11492168,3,acc
5.87E+14,-0.36631286,-0.62728083,0.17956513,3,acc
5.87E+14,-0.34237084,-0.6344634,0.18435353,3,acc
5.87E+14,-0.2657564,-0.6703765,0.11731588,3,acc
5.87E+14,-0.107739076,-0.5746084,0.1340753,3,acc
5.87E+14,0.05267244,-0.49559975,0.045489833,3,acc
5.87E+14,0.19153613,-0.31603462,-0.09816227,3,acc
5.87E+14,0.25139117,-0.18914193,-0.079008654,3,acc
5.87E+14,0.16998832,-0.22266077,0.011971008,3,acc
5.87E+14,-0.090979666,-0.12210429,0.110133275,3,acc
5.87E+14,-0.29927522,-0.12928689,0.18195933,3,acc
5.87E+14,-0.30406362,-0.02873042,0.25617957,3,acc
5.87E+14,-0.12449849,0.10295067,0.21787235,3,acc
5.87E+14,0.31603462,0.36152446,0.107739076,3,acc
5.87E+14,0.5626374,0.4189853,0.062249243,3,acc
5.87E+14,0.81642276,0.50996494,0.090979666,3,acc
5.87E+14,0.8882488,0.5602432,0.16998832,3,acc
5.87E+14,0.8810662,0.50038815,0.30166942,3,acc
5.87E+14,0.8331822,0.48841715,0.36870706,3,acc
5.87E+14,0.90979666,0.5506664,0.37349546,3,acc
5.87E+14,0.92176765,0.5315128,0.2801216,3,acc
5.87E+14,0.842759,0.60333884,0.24899697,3,acc
5.87E+14,0.842759,0.6536171,0.2753332,3,acc
5.87E+14,0.5386954,0.61052144,0.3184288,3,acc
5.87E+14,0.4429273,0.46447513,0.24420857,3,acc
5.87E+14,0.11252748,0.21547815,0.22026655,3,acc
