t,x,y,z,a,
5.20E+14,-0.63206923,0.2873042,-0.59376204,3,acc
5.20E+14,-0.035913024,0.019153614,-0.004788403,3,acc
5.20E+14,-0.02633622,-0.05267244,-0.021547815,3,acc
5.20E+14,-0.055066638,0.021547815,0.011971008,3,acc
5.20E+14,0.045489833,0.062249243,-0.090979666,3,acc
5.20E+14,0.031124622,0.038307227,-0.055066638,3,acc
5.20E+14,0.093373865,0.05746084,-0.06464344,3,acc
5.20E+14,0.07182605,0.05746084,-0.011971008,3,acc
5.20E+14,-0.007182605,0.11252748,-0.08140286,3,acc
5.20E+14,0.06464344,0.1316811,-0.011971008,3,acc
5.20E+14,0.031124622,0.035913024,-0.021547815,3,acc
5.20E+14,0.093373865,0.07182605,-0.08379706,3,acc
5.20E+14,-0.038307227,0.10295067,-0.05267244,3,acc
5.20E+14,0.023942016,0.06464344,0,3,acc
5.20E+14,0.011971008,0.062249243,-0.033518825,3,acc
5.20E+14,0.01436521,0.10534488,-0.059855044,3,acc
5.20E+14,0.033518825,0.05267244,-0.02633622,3,acc
5.20E+14,0.047884032,0.004788403,-0.09816227,3,acc
5.20E+14,0.04309563,-0.06464344,-0.076614454,3,acc
5.20E+14,0.074220255,0.023942016,-0.055066638,3,acc
5.20E+14,0.011971008,-0.10055647,-0.031124622,3,acc
5.20E+14,0.047884032,-0.12210429,0.021547815,3,acc
5.20E+14,0.047884032,-0.050278235,0.002394202,3,acc
5.20E+14,0.055066638,-0.019153614,-0.019153614,3,acc
5.20E+14,0.11731588,0.002394202,-0.011971008,3,acc
5.20E+14,0.055066638,0.031124622,-0.019153614,3,acc
5.20E+14,0.002394202,0.059855044,-0.15083471,3,acc
5.20E+14,0.011971008,0.08379706,-0.076614454,3,acc
5.20E+14,0.021547815,0.088585466,-0.11252748,3,acc
5.20E+14,-0.02633622,0.16280572,-0.050278235,3,acc
5.20E+14,-0.05267244,0.12928689,-0.079008654,3,acc
5.20E+14,-0.05746084,0.12210429,-0.12689269,3,acc
5.20E+14,-0.06703765,0.06703765,-0.08379706,3,acc
5.20E+14,0.04309563,0.038307227,0.01436521,3,acc
5.20E+14,0.06464344,0.08619126,-0.033518825,3,acc
5.20E+14,0.095768064,0.021547815,-0.021547815,3,acc
5.20E+14,0.11492168,0,-0.002394202,3,acc
5.20E+14,0.09816227,-0.04309563,0.004788403,3,acc
5.20E+14,0.02633622,-0.14844051,0.02873042,3,acc
5.20E+14,0.038307227,-0.050278235,0.031124622,3,acc
5.20E+14,0.11252748,-0.07182605,0.035913024,3,acc
5.20E+14,0.08379706,-0.06943185,0.021547815,3,acc
5.20E+14,0.019153614,-0.055066638,0.05746084,3,acc
5.20E+14,0,-0.01436521,0.06703765,3,acc
5.20E+14,-0.021547815,0.055066638,0.04309563,3,acc
5.20E+14,0.062249243,0.055066638,0.035913024,3,acc
5.20E+14,0.16519992,0.090979666,0.062249243,3,acc
5.20E+14,0.062249243,0.11252748,0.045489833,3,acc
5.20E+14,0.21308395,0.01436521,0.15083471,3,acc
5.20E+14,0.088585466,0.07182605,0.06703765,3,acc
5.20E+14,0.07182605,0.11971009,0.045489833,3,acc
5.20E+14,0.05267244,-0.04309563,0.038307227,3,acc
5.20E+14,0.06464344,-0.04309563,0.095768064,3,acc
5.20E+14,0.074220255,-0.045489833,0.023942016,3,acc
5.20E+14,0.04309563,0,-0.02873042,3,acc
5.20E+14,0.019153614,0.08140286,0.023942016,3,acc
5.20E+14,0.038307227,0.12928689,-0.05267244,3,acc
5.20E+14,0.023942016,0.08619126,-0.09816227,3,acc
5.20E+14,0.09816227,0,-0.15801731,3,acc
5.20E+14,-0.021547815,-0.016759412,-0.1436521,3,acc
5.20E+14,-0.059855044,0.035913024,-0.093373865,3,acc
5.20E+14,0.05267244,0.023942016,-0.16998832,3,acc
5.20E+14,0.05746084,-0.033518825,-0.10534488,3,acc
5.20E+14,0.10295067,-0.007182605,-0.08619126,3,acc
5.20E+14,0.047884032,0.031124622,-0.090979666,3,acc
5.20E+14,0.12689269,-0.10534488,0.01436521,3,acc
5.20E+14,0.1364695,-0.093373865,-0.079008654,3,acc
5.20E+14,0.08140286,-0.004788403,-0.05746084,3,acc
5.20E+14,0.011971008,-0.035913024,-0.10534488,3,acc
5.20E+14,0.01436521,-0.062249243,0.002394202,3,acc
5.20E+14,0.021547815,-0.050278235,-0.004788403,3,acc
5.20E+14,0.08140286,-0.08619126,-0.045489833,3,acc
5.20E+14,0.08140286,0.011971008,-0.14844051,3,acc
5.20E+14,0.050278235,0,-0.06703765,3,acc
