t,x,y,z,a,
1.03E+12,-1.2665327,-1.5346833,1.0295067,3,acc
1.03E+12,0.24181437,0.09816227,0.10534488,3,acc
1.03E+12,1.0630256,0.51235914,0.37828386,3,acc
1.03E+12,1.5179238,0.89782566,0.31364042,3,acc
1.03E+12,1.7190368,0.9888053,0.055066638,3,acc
1.03E+12,1.1683705,1.1468226,0.08619126,3,acc
1.03E+12,0.7326257,1.3503298,0.21787235,3,acc
1.03E+12,0.94092125,0.93373865,0.30166942,3,acc
1.03E+12,0.61052144,0.47644615,0.050278235,3,acc
1.03E+12,-0.2705448,-0.21787235,-0.12449849,3,acc
1.03E+12,-0.78769237,-0.8690952,-0.272939,3,acc
1.03E+12,-1.0175357,-0.9624691,-0.39264908,3,acc
1.03E+12,-0.92655605,-0.8595184,-0.60573304,3,acc
1.03E+12,-0.6991069,-0.8571242,-0.59855044,3,acc
1.03E+12,-0.4261679,-0.90500826,-0.5315128,3,acc
1.03E+12,-0.40940848,-0.94570965,-0.39025488,3,acc
1.03E+12,-0.34476504,-1.0606314,-0.29688102,3,acc
1.03E+12,-0.30645782,-1.055843,-0.035913024,3,acc
1.03E+12,-0.5602432,-0.9576807,0.20829555,3,acc
1.03E+12,-0.7637503,-1.0127473,0.3184288,3,acc
1.03E+12,-0.5530606,-0.81163436,0.18674773,3,acc
1.03E+12,-0.25617957,-0.581791,0.095768064,3,acc
1.03E+12,-0.11492168,-0.30166942,0.15083471,3,acc
1.03E+12,0.045489833,-0.17717093,0.12689269,3,acc
1.03E+12,0.15322891,-0.06703765,0.05267244,3,acc
1.03E+12,0.1340753,0.07182605,0.06703765,3,acc
1.03E+12,-0.059855044,0.24181437,0.16759412,3,acc
1.03E+12,-0.055066638,0.6655881,0.46686932,3,acc
1.03E+12,-0.22505496,1.3623008,0.07182605,3,acc
1.03E+12,-0.11252748,0.9504981,-0.7445967,3,acc
1.03E+12,0.6368576,0.11252748,-0.90021986,3,acc
1.03E+12,1.4269443,-0.6847417,-0.62728083,3,acc
1.03E+12,2.0135236,-0.80445176,0.23942018,3,acc
1.03E+12,2.2026656,-0.80684596,0.8523358,3,acc
1.03E+12,1.340753,-0.78290397,1.055843,3,acc
1.03E+12,0.2777274,-0.8690952,1.0295067,3,acc
1.03E+12,-0.44532153,-0.60094464,0.8571242,3,acc
1.03E+12,-0.6823475,-0.21787235,0.6584055,3,acc
1.03E+12,-0.581791,-0.076614454,0.36631286,3,acc
1.03E+12,-0.21308395,-0.06703765,0.08619126,3,acc
1.03E+12,0.047884032,-0.01436521,0.10534488,3,acc
1.03E+12,0.10534488,0.12210429,-0.002394202,3,acc
1.03E+12,0.4381389,-0.12210429,-0.11731588,3,acc
1.03E+12,0.6584055,-0.08140286,-0.260968,3,acc
1.03E+12,0.878672,-0.090979666,-0.1436521,3,acc
1.03E+12,1.2162545,-0.090979666,-0.019153614,3,acc
1.03E+12,1.6448165,-0.090979666,-0.29688102,3,acc
1.03E+12,2.2026656,-0.22266077,-0.59855044,3,acc
1.03E+12,2.4947581,0.32321724,-0.2825158,3,acc
1.03E+12,2.207454,1.2354081,-1.0247183,3,acc
1.03E+12,2.0566192,1.4269443,-1.8962077,3,acc
1.03E+12,1.4341269,1.6783354,-2.396596,3,acc
1.03E+12,0.89782566,1.733402,-2.6551697,3,acc
1.03E+12,0.5410896,1.5227122,-2.693477,3,acc
1.03E+12,0.33518824,1.3694834,-2.8634653,3,acc
1.03E+12,0.14844051,1.316811,-2.870648,3,acc
1.03E+12,-0.035913024,0.8762778,-2.6120741,3,acc
1.03E+12,-0.4381389,0.6943185,-2.1021092,3,acc
1.03E+12,-0.21308395,0.8331822,-1.5394717,3,acc
1.03E+12,0.050278235,1.0462662,-1.6328455,3,acc
1.03E+12,0.35194764,0.9768343,-2.0374656,3,acc
1.03E+12,0.45250413,1.0031705,-2.2481554,3,acc
1.03E+12,0.51235914,1.3862427,-2.4420857,3,acc
1.03E+12,0.47165772,1.7788919,-2.3989902,3,acc
1.03E+12,0.46686932,1.7621324,-2.2385786,3,acc
1.03E+12,0.46926352,1.946486,-2.2098482,3,acc
1.03E+12,0.9552865,1.7836803,-2.3463178,3,acc
1.03E+12,1.4317327,1.7501614,-2.4468741,3,acc
1.03E+12,1.6448165,1.7046716,-2.3008277,3,acc
1.03E+12,1.6998832,1.673547,-1.4700398,3,acc
1.03E+12,2.4109612,1.3431472,-1.13964,3,acc
