a,x,y,z,a,
9.39E+13,0.023942016,-0.02873042,0.016759412,3,acc
9.39E+13,0.033518825,-0.062249243,0.047884032,3,acc
9.39E+13,0.002394202,0.019153614,0,3,acc
9.39E+13,-0.011971008,-0.031124622,0.08619126,3,acc
9.39E+13,0.04070143,-0.02873042,0.031124622,3,acc
9.39E+13,-0.050278235,-0.02633622,0.007182605,3,acc
9.39E+13,-0.023942016,0.04070143,0.035913024,3,acc
9.39E+13,0.05267244,-0.021547815,0.055066638,3,acc
9.39E+13,0.047884032,-0.08379706,0.059855044,3,acc
9.39E+13,0.01436521,0,-0.011971008,3,acc
9.39E+13,0.007182605,0.04070143,0.02873042,3,acc
9.39E+13,0.019153614,0,0.107739076,3,acc
9.39E+13,0.016759412,-0.08140286,0.055066638,3,acc
9.39E+13,0.08379706,-0.04070143,0.050278235,3,acc
9.39E+13,0.016759412,-0.01436521,0.107739076,3,acc
9.39E+13,-0.12689269,0.06703765,0.031124622,3,acc
9.39E+13,-0.035913024,-0.009576807,0.016759412,3,acc
9.39E+13,0.045489833,-0.1388637,0.045489833,3,acc
9.39E+13,0.016759412,-0.14604631,0.05746084,3,acc
9.39E+13,0.011971008,0.033518825,0.047884032,3,acc
9.39E+13,0.079008654,0.050278235,0.038307227,3,acc
9.39E+13,0.08140286,0.011971008,0.10295067,3,acc
9.39E+13,-0.04070143,0.023942016,0.06943185,3,acc
9.39E+13,-0.011971008,-0.02873042,0.04070143,3,acc
9.39E+13,0.021547815,-0.06703765,0.062249243,3,acc
9.39E+13,0.004788403,-0.04309563,0.088585466,3,acc
9.39E+13,-0.033518825,0.033518825,0.045489833,3,acc
9.39E+13,-0.002394202,0.011971008,0.05267244,3,acc
9.39E+13,0,0.04070143,0.079008654,3,acc
9.39E+13,0.009576807,0.04309563,0.05267244,3,acc
9.39E+13,0.045489833,-0.07182605,0.045489833,3,acc
9.39E+13,0.088585466,0.002394202,0.045489833,3,acc
9.39E+13,0.035913024,-0.038307227,-0.02873042,3,acc
9.39E+13,-0.011971008,0.01436521,0.02873042,3,acc
9.39E+13,0.074220255,-0.023942016,0.07182605,3,acc
9.39E+13,0.019153614,0.02873042,0.07182605,3,acc
9.39E+13,0.050278235,0.06464344,0.050278235,3,acc
9.39E+13,0.002394202,0.004788403,0.10055647,3,acc
9.39E+13,0.05267244,-0.12449849,0.004788403,3,acc
9.39E+13,-0.009576807,-0.016759412,0.055066638,3,acc
9.39E+13,-0.016759412,-0.01436521,0.04309563,3,acc
9.39E+13,-0.002394202,0.02873042,0.06943185,3,acc
9.39E+13,-0.038307227,0.047884032,0.02873042,3,acc
9.39E+13,0.05267244,0.004788403,0.079008654,3,acc
9.39E+13,-0.035913024,0.035913024,0.055066638,3,acc
9.39E+13,0.019153614,-0.059855044,0.076614454,3,acc
9.39E+13,0.023942016,0.038307227,0.07182605,3,acc
9.39E+13,-0.04309563,-0.019153614,0.10534488,3,acc
9.39E+13,-0.06703765,0.007182605,0.011971008,3,acc
9.39E+13,-0.035913024,-0.05746084,0.05267244,3,acc
9.39E+13,0.04070143,-0.01436521,0.047884032,3,acc
9.39E+13,-0.04070143,-0.009576807,0.035913024,3,acc
9.39E+13,-0.023942016,-0.009576807,0.07182605,3,acc
9.39E+13,-0.01436521,0.023942016,0.05746084,3,acc
9.39E+13,-0.06703765,-0.031124622,0.07182605,3,acc
9.39E+13,-0.059855044,0.01436521,0.088585466,3,acc
9.39E+13,0.019153614,-0.035913024,0.074220255,3,acc
9.39E+13,0.076614454,0.009576807,0.06464344,3,acc
9.39E+13,-0.023942016,0.055066638,0.007182605,3,acc
9.39E+13,0.033518825,-0.02633622,0.007182605,3,acc
9.39E+13,-0.04070143,-0.08379706,0.02873042,3,acc
9.39E+13,0.090979666,0.019153614,0.08140286,3,acc
9.39E+13,-0.06943185,0.004788403,-0.009576807,3,acc
9.39E+13,-0.059855044,-0.05746084,0.06464344,3,acc
9.39E+13,0.02873042,-0.08379706,0.055066638,3,acc
9.39E+13,0.033518825,-0.04070143,0.050278235,3,acc
9.39E+13,-0.08140286,0.01436521,0.050278235,3,acc
9.39E+13,-0.031124622,-0.04309563,0.05267244,3,acc
9.39E+13,0.01436521,-0.17238252,0.021547815,3,acc
9.39E+13,0.038307227,0.02633622,0.02633622,3,acc
9.39E+13,0.06943185,0.06703765,0.07182605,3,acc
9.39E+13,0.04309563,0.059855044,0.05746084,3,acc
9.39E+13,0.05267244,0.1316811,0.035913024,3,acc
9.39E+13,-0.002394202,0.016759412,0.088585466,3,acc
9.39E+13,-0.021547815,-0.01436521,0.011971008,3,acc
9.39E+13,-0.009576807,-0.08140286,0.009576807,3,acc
9.39E+13,0.021547815,0,0.08379706,3,acc
9.39E+13,-0.031124622,-0.033518825,0.02633622,3,acc
9.39E+13,0.004788403,-0.045489833,0.059855044,3,acc
9.39E+13,0.01436521,-0.02633622,0.06464344,3,acc
9.39E+13,-0.05267244,0.007182605,0.06464344,3,acc
9.39E+13,-0.021547815,0.002394202,0.019153614,3,acc
9.39E+13,0.031124622,-0.06703765,0.059855044,3,acc
9.39E+13,-0.04070143,-0.088585466,0.031124622,3,acc
9.39E+13,0.079008654,-0.04070143,0.019153614,3,acc
9.39E+13,0.033518825,0,0.059855044,3,acc
9.39E+13,0,0.06703765,0.06943185,3,acc
9.39E+13,0.033518825,0.023942016,0.079008654,3,acc
9.39E+13,-0.05267244,0.047884032,0.045489833,3,acc
9.39E+13,0.033518825,-0.06943185,0.045489833,3,acc
9.39E+13,-0.031124622,-0.019153614,0.04309563,3,acc
9.39E+13,-0.107739076,-0.076614454,0.02873042,3,acc
9.39E+13,0,-0.019153614,0.059855044,3,acc
9.39E+13,0.023942016,0.02873042,0.074220255,3,acc
9.39E+13,0.050278235,0.007182605,0.12689269,3,acc
9.39E+13,0.011971008,0,0.033518825,3,acc
9.39E+13,-0.05267244,0.004788403,0.062249243,3,acc
9.39E+13,-0.019153614,-0.011971008,0.10534488,3,acc
9.39E+13,0.01436521,-0.01436521,0.07182605,3,acc
9.39E+13,-0.045489833,0.009576807,0.04309563,3,acc
9.39E+13,-0.004788403,-0.002394202,0.06703765,3,acc
9.39E+13,0.011971008,0.009576807,0.11971009,3,acc
9.39E+13,0.004788403,0.033518825,0.02633622,3,acc
9.39E+13,0.06703765,0.01436521,0.035913024,3,acc
9.39E+13,0,-0.04070143,0.107739076,3,acc
9.39E+13,0.011971008,0,0.07182605,3,acc
9.39E+13,0.004788403,-0.023942016,0.045489833,3,acc
9.39E+13,0.033518825,0.033518825,0.02873042,3,acc
9.39E+13,0.02633622,-0.023942016,0.01436521,3,acc
9.39E+13,0.021547815,-0.055066638,0.038307227,3,acc
9.39E+13,0.019153614,-0.062249243,0.074220255,3,acc
9.39E+13,-0.007182605,-0.002394202,0.04309563,3,acc
9.39E+13,0.004788403,-0.038307227,0.08140286,3,acc
9.39E+13,0.05746084,0.004788403,0.06943185,3,acc
9.39E+13,-0.045489833,0.11731588,0.055066638,3,acc
9.39E+13,-0.047884032,-0.02873042,0.074220255,3,acc
9.39E+13,0.035913024,-0.25617957,0.079008654,3,acc
9.39E+13,0.055066638,-0.04309563,0.059855044,3,acc
9.39E+13,0.021547815,0.019153614,-0.004788403,3,acc
9.39E+13,0.009576807,0.06703765,0.074220255,3,acc
9.39E+13,0.007182605,-0.033518825,0.088585466,3,acc
9.39E+13,-0.04309563,0.007182605,0.035913024,3,acc
9.39E+13,-0.055066638,-0.009576807,0,3,acc
9.39E+13,-0.055066638,-0.093373865,0.08379706,3,acc
9.39E+13,0.023942016,-0.04070143,0.08379706,3,acc
9.39E+13,0.033518825,-0.009576807,0.01436521,3,acc
9.39E+13,0.05267244,0.02633622,0.076614454,3,acc
9.39E+13,0.110133275,-0.062249243,0.06703765,3,acc
9.39E+13,-0.02633622,0,0.06464344,3,acc
