t,x,y,z,a,
6.31E+13,2.9640217,-11.15698,16.879122,3,acc
6.31E+13,0.023942016,0,0.079008654,3,acc
6.31E+13,-0.05746084,-0.090979666,-0.033518825,3,acc
6.31E+13,-0.02873042,-0.1316811,0.06943185,3,acc
6.31E+13,-0.031124622,-0.107739076,-0.016759412,3,acc
6.31E+13,-0.038307227,-0.22984336,0.20829555,3,acc
6.31E+13,0.10295067,-0.20829555,-0.51714754,3,acc
6.31E+13,0.031124622,0.1412579,-0.62009823,3,acc
6.31E+13,0.033518825,0.7326257,-0.7350199,3,acc
6.31E+13,-0.050278235,1.115698,-0.7541735,3,acc
6.31E+13,-0.021547815,0.6607997,-0.61052144,3,acc
6.31E+13,0.107739076,-0.23463176,-0.44532153,3,acc
6.31E+13,-0.01436521,-0.56982,0.1388637,3,acc
6.31E+13,0.009576807,-0.1412579,0.320823,3,acc
6.31E+13,0.059855044,0.01436521,0.36391866,3,acc
6.31E+13,0.06703765,-0.090979666,0.4189853,3,acc
6.31E+13,0.088585466,-0.17238252,0.38307226,3,acc
6.31E+13,0.10055647,-0.16998832,0.16998832,3,acc
6.31E+13,0.033518825,-0.06464344,0.02873042,3,acc
6.31E+13,0.031124622,0.011971008,-0.050278235,3,acc
6.31E+13,0.04070143,0.055066638,0.10055647,3,acc
6.31E+13,0.11252748,-0.019153614,0.21547815,3,acc
6.31E+13,0.047884032,0.055066638,0.2777274,3,acc
6.31E+13,0.08619126,-0.019153614,0.22505496,3,acc
6.31E+13,0.17956513,-0.08379706,0.095768064,3,acc
6.31E+13,0.02633622,-0.095768064,0.02633622,3,acc
6.31E+13,0.02633622,-0.02873042,0.05746084,3,acc
6.31E+13,-0.01436521,-0.035913024,-0.055066638,3,acc
6.31E+13,-0.035913024,0.038307227,-0.06464344,3,acc
6.31E+13,-0.011971008,0.06464344,-0.059855044,3,acc
6.31E+13,0.079008654,-0.06943185,-0.031124622,3,acc
6.31E+13,0.047884032,0.016759412,-0.19871874,3,acc
6.31E+13,0.06464344,0.007182605,-0.16519992,3,acc
6.31E+13,0.011971008,0.10534488,-0.16998832,3,acc
6.31E+13,-0.031124622,0.011971008,-0.11252748,3,acc
6.31E+13,-0.019153614,-0.009576807,-0.10534488,3,acc
6.31E+13,0.01436521,-0.019153614,-0.19632454,3,acc
6.31E+13,0.06703765,-0.004788403,-0.15322891,3,acc
6.31E+13,-0.011971008,-0.031124622,-0.11252748,3,acc
6.31E+13,-0.06464344,-0.021547815,-0.076614454,3,acc
6.31E+13,0.06464344,0.06943185,-0.07182605,3,acc
6.31E+13,0.035913024,0.110133275,-0.090979666,3,acc
6.31E+13,0.062249243,-0.002394202,-0.15322891,3,acc
6.31E+13,-0.06703765,0.023942016,-0.110133275,3,acc
6.31E+13,-0.18914193,0.02633622,-0.088585466,3,acc
6.31E+13,0.07182605,0,0.023942016,3,acc
6.31E+13,0.10055647,0.05267244,-0.11252748,3,acc
6.31E+13,0.04309563,0.095768064,0.016759412,3,acc
6.31E+13,0.19871874,0.021547815,-0.009576807,3,acc
6.31E+13,0.2705448,0.004788403,-0.033518825,3,acc
6.31E+13,0.4189853,0.02633622,-0.25378537,3,acc
6.31E+13,0.59855044,-0.09816227,-0.22505496,3,acc
