t,x,y,z,a,
1.56E+14,-0.63206923,0.34237084,1.9081788,3,acc
1.56E+14,-0.8355764,0.23223756,-0.08619126,3,acc
1.56E+14,-0.5530606,-0.24660277,-0.50757074,3,acc
1.56E+14,0.074220255,-0.842759,-0.36152446,3,acc
1.56E+14,0.6943185,-1.1827357,-0.260968,3,acc
1.56E+14,0.8571242,-1.2497733,-0.050278235,3,acc
1.56E+14,0.7398083,-1.2473791,-0.17238252,3,acc
1.56E+14,0.10534488,-1.2617443,-0.23942018,3,acc
1.56E+14,-0.4237737,-1.2593501,-0.4237737,3,acc
1.56E+14,-0.641646,-1.0702082,-0.35673606,3,acc
1.56E+14,-0.91458505,-1.043872,-0.5386954,3,acc
1.56E+14,-1.2114661,-0.9696517,-0.5770026,3,acc
1.56E+14,-1.5658079,-0.5554548,-0.9600749,3,acc
1.56E+14,-1.9680338,-0.15322891,-1.091756,3,acc
1.56E+14,-2.932897,0.12689269,-0.78290397,3,acc
1.56E+14,-2.9903579,0.8882488,-0.10534488,3,acc
1.56E+14,-1.5346833,1.5801731,0.050278235,3,acc
1.56E+14,-0.24181437,1.8602947,-0.29688102,3,acc
1.56E+14,0.9840169,2.779668,-0.5243302,3,acc
1.56E+14,1.9656396,3.359065,-0.33039984,3,acc
1.56E+14,2.2026656,3.6774938,-0.18195933,3,acc
1.56E+14,1.7286136,3.7134068,-0.31364042,3,acc
1.56E+14,0.59376204,3.4237084,-0.81642276,3,acc
1.56E+14,-0.5793968,2.8898015,-1.1252748,3,acc
1.56E+14,-1.1755531,2.4827871,-1.091756,3,acc
1.56E+14,-0.80445176,1.6879122,-0.6679823,3,acc
1.56E+14,-0.033518825,1.0223241,-0.095768064,3,acc
1.56E+14,0.2657564,0.62488663,0.45968673,3,acc
1.56E+14,0.10534488,0.50757074,0.33997664,3,acc
1.56E+14,-0.1388637,0.15801731,0.11492168,3,acc
1.56E+14,-0.40462008,-0.24899697,0.22266077,3,acc
1.56E+14,-0.60573304,-0.6392518,0.60094464,3,acc
1.56E+14,-0.5530606,-0.80924016,0.7350199,3,acc
1.56E+14,-0.1340753,-1.091756,0.35434186,3,acc
1.56E+14,0.2825158,-1.0773908,-0.095768064,3,acc
1.56E+14,0.39264908,-0.830788,-0.4189853,3,acc
1.56E+14,0.7038953,-0.5722142,-0.5243302,3,acc
1.56E+14,0.94092125,-0.5554548,-0.5482722,3,acc
1.56E+14,0.7062895,-0.46926352,-0.33279404,3,acc
1.56E+14,0.23702596,-0.14604631,-0.009576807,3,acc
1.56E+14,-0.038307227,-0.24899697,0.11492168,3,acc
1.56E+14,-0.08379706,-0.6775591,0.32800564,3,acc
1.56E+14,0.16280572,-0.89782566,0.39983168,3,acc
1.56E+14,0.17717093,-0.7637503,0.4261679,3,acc
1.56E+14,0.19153613,-0.5434838,0.62488663,3,acc
1.56E+14,0.088585466,-0.30885202,0.6607997,3,acc
1.56E+14,-0.11971009,0.21787235,0.7134721,3,acc
1.56E+14,-0.29209262,0.48602295,0.6536171,3,acc
1.56E+14,-0.29448682,0.47165772,0.5243302,3,acc
1.56E+14,0.038307227,0.15801731,0.5386954,3,acc
1.56E+14,0.24660277,-0.19393034,0.60812724,3,acc
1.56E+14,0.10295067,-0.23942018,0.80684596,3,acc
1.56E+14,-0.37110126,0.31124622,1.0582372,3,acc
1.56E+14,-0.581791,0.5482722,0.9720459,3,acc
1.56E+14,-0.24181437,0.33518824,1.1109096,3,acc
1.56E+14,-0.31364042,-0.18914193,1.3024458,3,acc
1.56E+14,-0.5626374,-0.36870706,1.448492,3,acc
1.56E+14,-0.5291186,-0.39504328,1.6041151,3,acc
1.56E+14,-0.92416185,-0.51235914,1.6136919,3,acc
1.56E+14,-2.3439236,-0.4237737,1.9321208,3,acc
1.56E+14,-4.39336,-0.32321724,2.6192567,3,acc
1.56E+14,-5.3678,0.019153614,2.2409728,3,acc
1.56E+14,-3.7421372,0.8882488,0.8834604,3,acc
1.56E+14,-0.92416185,1.055843,-0.31364042,3,acc
1.56E+14,1.7046716,1.6232687,-1.055843,3,acc
1.56E+14,4.1371803,1.8219875,-0.8571242,3,acc
1.56E+14,4.5418005,1.3096284,-0.22505496,3,acc
1.56E+14,1.7812861,0.90979666,-0.28491,3,acc
1.56E+14,-1.2162545,0.8882488,-1.1300632,3,acc
1.56E+14,-3.3734303,0.2633622,-1.697489,3,acc
1.56E+14,-4.280833,-0.59855044,-1.9393034,3,acc
1.56E+14,-4.570531,-0.07182605,-1.685518,3,acc
1.56E+14,-6.646304,1.1707647,-2.4779987,3,acc
1.56E+14,-8.42759,2.183512,-4.654328,3,acc
1.56E+14,-6.26802,1.3000516,-5.8705826,3,acc
1.56E+14,-3.3087866,-0.016759412,-5.9448028,3,acc
1.56E+14,-3.4165258,0.47884035,-5.805939,3,acc
1.56E+14,-5.995081,1.5131354,-6.7731967,3,acc
1.56E+14,-6.2728086,1.5179238,-7.0820484,3,acc
1.56E+14,-3.8019924,1.8387469,-6.8067155,3,acc
1.56E+14,-2.906561,2.2601264,-6.0357823,3,acc
1.56E+14,-3.7493198,3.3925838,-5.8945246,3,acc
1.56E+14,-4.177882,4.7979803,-5.805939,3,acc
1.56E+14,-3.430891,5.3965306,-5.827487,3,acc
1.56E+14,-2.7844565,5.559336,-4.8985367,3,acc
1.56E+14,-2.4851813,5.4300494,-3.6750996,3,acc
1.56E+14,-2.15957,5.3342814,-2.9041667,3,acc
1.56E+14,-1.9201498,5.650316,-2.633622,3,acc
1.56E+14,-1.7166426,6.030994,-2.243367,3,acc
1.56E+14,-1.2042835,5.9663506,-1.769315,3,acc
1.56E+14,-1.2785037,5.5617304,0.17238252,3,acc
1.56E+14,-2.099715,5.4803276,1.6017209,3,acc
1.56E+14,-2.5139117,5.415684,0.80924016,3,acc
1.56E+14,-2.8898015,5.2385135,0.01436521,3,acc
1.56E+14,-4.1252093,5.085284,-0.17956513,3,acc
1.56E+14,-5.839458,6.2249246,-1.2545617,3,acc
1.56E+14,-7.371747,7.216124,-1.9081788,3,acc
1.56E+14,-8.966286,6.2584434,-1.9369092,3,acc
1.56E+14,-10.453085,4.8698063,-0.7757214,3,acc
1.56E+14,-12.090718,3.4021606,1.1468226,3,acc
1.56E+14,-11.731588,1.685518,2.7485435,3,acc
1.56E+14,-7.9846625,1.1899183,2.1380222,3,acc
1.56E+14,-2.0638018,-0.38067806,1.4700398,3,acc
1.56E+14,2.9376855,-1.4053963,0.3184288,3,acc
1.56E+14,4.2904096,0.31124622,-0.7230489,3,acc
1.56E+14,1.7956513,0.7422025,-1.8243817,3,acc
1.56E+14,-0.25617957,-0.6344634,-1.934515,3,acc
1.56E+14,-0.79248077,-1.5897499,-2.1547816,3,acc
1.56E+14,-0.9983821,-1.7980455,-2.4732103,3,acc
1.56E+14,-1.5035586,-1.70946,-2.8754363,3,acc
1.56E+14,-1.5179238,-1.9129672,-2.2505496,3,acc
1.56E+14,-0.7254431,-0.866701,-1.0773908,3,acc
1.56E+14,0.260968,0.34715924,-1.0342951,3,acc
1.56E+14,0.581791,0.8451532,-2.111686,3,acc
1.56E+14,0.82121116,0.92655605,-2.6886885,3,acc
1.56E+14,1.4173675,0.4141969,-2.042254,3,acc
1.56E+14,1.721431,0.89064306,-0.8379706,3,acc
1.56E+14,1.5634137,2.0231004,-1.0079589,3,acc
1.56E+14,1.3862427,2.896984,-1.8698715,3,acc
1.56E+14,1.2641385,2.1452048,-0.8499416,3,acc
1.56E+14,0.7685388,2.030283,1.7190368,3,acc
1.56E+14,1.0965444,2.873042,1.4173675,3,acc
1.56E+14,1.685518,4.249708,-0.1340753,3,acc
1.56E+14,1.4820108,3.7421372,-1.3742718,3,acc
1.56E+14,-0.01436521,2.087744,-0.08379706,3,acc
1.56E+14,-1.4053963,1.7405846,1.2330139,3,acc
1.56E+14,-1.3455414,2.3127987,0.89303726,3,acc
1.56E+14,-0.81642276,2.3798366,0.39504328,3,acc
1.56E+14,-1.340753,1.982399,0.78529817,3,acc
1.56E+14,-1.8243817,1.6711528,1.4317327,3,acc
1.56E+14,-1.2186487,2.554613,1.6687586,3,acc
1.56E+14,-0.8523358,3.3183637,2.89459,3,acc
1.56E+14,-1.553837,2.858677,3.3782187,3,acc
1.56E+14,-2.4516625,2.0709844,3.8163576,3,acc
1.56E+14,-3.739743,0.5410896,5.801151,3,acc
1.56E+14,-5.659893,-1.0271125,7.85777,3,acc
1.56E+14,-5.853823,0.8571242,7.026982,3,acc
1.56E+14,-2.846706,3.7445314,4.900931,3,acc
