t,x,y,z,a,
8.84E+13,-5.626374,0.79487497,-8.288726,3,acc
8.84E+13,-0.56982,-0.17717093,0.002394202,3,acc
8.84E+13,0.062249243,-0.04309563,0,3,acc
8.84E+13,0.016759412,0.15801731,0.035913024,3,acc
8.84E+13,0.11492168,0.3184288,0.047884032,3,acc
8.84E+13,0.2777274,0.28491,-0.002394202,3,acc
8.84E+13,0.2801216,0.4141969,-0.08619126,3,acc
8.84E+13,0.28491,0.30166942,-0.17238252,3,acc
8.84E+13,0.107739076,-0.059855044,-0.12689269,3,acc
8.84E+13,-0.055066638,-0.076614454,-0.21547815,3,acc
8.84E+13,-0.007182605,0.004788403,-0.32800564,3,acc
8.84E+13,0.22026655,-0.04070143,-0.36870706,3,acc
8.84E+13,0.16998832,-0.023942016,-0.272939,3,acc
8.84E+13,0.15801731,0,-0.21547815,3,acc
8.84E+13,0.17956513,0.107739076,-0.15322891,3,acc
8.84E+13,0.14844051,0.1364695,-0.25857377,3,acc
8.84E+13,0.002394202,0.15322891,-0.08379706,3,acc
8.84E+13,0.12928689,0.25378537,0,3,acc
8.84E+13,0.21787235,0.41180268,0.04070143,3,acc
8.84E+13,0.079008654,0.41180268,0.05267244,3,acc
8.84E+13,0.021547815,0.45250413,0.11252748,3,acc
8.84E+13,-0.095768064,0.39264908,0.20829555,3,acc
8.84E+13,0.011971008,0.29209262,0.19153613,3,acc
8.84E+13,-0.15562311,0.33758244,0.14604631,3,acc
8.84E+13,-0.11731588,0.36391866,0.17717093,3,acc
8.84E+13,0.002394202,0.33758244,0.2777274,3,acc
8.84E+13,0.1388637,0.35434186,0.24660277,3,acc
8.84E+13,0.24420857,0.32561144,0.035913024,3,acc
8.84E+13,0.23463176,0.14844051,0.16280572,3,acc
8.84E+13,0.15322891,-0.17717093,0.12210429,3,acc
8.84E+13,0.14604631,-0.6607997,-0.007182605,3,acc
8.84E+13,0.21547815,-0.5243302,-0.08379706,3,acc
8.84E+13,0.260968,-0.48602295,-0.17956513,3,acc
8.84E+13,0.17956513,-0.51954174,-0.12689269,3,acc
8.84E+13,0.18435353,-0.5267244,-0.093373865,3,acc
8.84E+13,0.2633622,-0.46686932,-0.110133275,3,acc
8.84E+13,0.22266077,-0.40940848,-0.08140286,3,acc
8.84E+13,0.09816227,-0.29927522,-0.055066638,3,acc
8.84E+13,0.19871874,-0.2753332,0.04309563,3,acc
8.84E+13,0.23223756,-0.21547815,0.045489833,3,acc
8.84E+13,0.22744916,-0.2657564,0.1412579,3,acc
8.84E+13,0.23702596,-0.16998832,0.22505496,3,acc
8.84E+13,0.19632454,-0.22266077,0.18914193,3,acc
8.84E+13,0.05267244,-0.20350714,0.20590134,3,acc
8.84E+13,-0.05746084,-0.31124622,0.19632454,3,acc
8.84E+13,-0.107739076,-0.2681506,0.18195933,3,acc
8.84E+13,-0.076614454,-0.22026655,0.076614454,3,acc
8.84E+13,0.050278235,-0.1340753,0.06464344,3,acc
8.84E+13,0.12210429,-0.20111294,0,3,acc
8.84E+13,0.019153614,-0.25139117,0.055066638,3,acc
8.84E+13,0.11731588,-0.23223756,0.1436521,3,acc
8.84E+13,0.04309563,-0.18674773,0.09816227,3,acc
8.84E+13,0.038307227,-0.1604115,0.09816227,3,acc
8.84E+13,0.06464344,0.093373865,0.04309563,3,acc
8.84E+13,0.019153614,0.2801216,-0.04070143,3,acc
8.84E+13,0.06943185,0.32800564,-0.062249243,3,acc
8.84E+13,0.15322891,0.4357447,-0.038307227,3,acc
8.84E+13,0.076614454,0.37110126,-0.08379706,3,acc
8.84E+13,0.093373865,0.33518824,-0.02873042,3,acc
8.84E+13,-0.047884032,0.11492168,0,3,acc
8.84E+13,-0.038307227,-0.038307227,0.050278235,3,acc
8.84E+13,0.062249243,-0.088585466,0.1388637,3,acc
8.84E+13,0.21068975,0.021547815,0.019153614,3,acc
8.84E+13,0.29688102,0.24181437,-0.22744916,3,acc
8.84E+13,0.34715924,0.074220255,-0.12689269,3,acc
8.84E+13,0.44771573,0.088585466,-0.01436521,3,acc
8.84E+13,0.45729253,0.062249243,-0.08140286,3,acc
8.84E+13,0.17717093,0.021547815,0.002394202,3,acc
8.84E+13,-0.047884032,-0.16519992,0.059855044,3,acc
8.84E+13,-0.24899697,-0.24181437,-0.055066638,3,acc
8.84E+13,-0.4285621,0.05267244,0.10055647,3,acc
8.84E+13,-0.2705448,-0.20111294,0.1340753,3,acc
8.84E+13,-0.24899697,-0.18674773,0.21547815,3,acc
8.84E+13,-0.079008654,-0.2825158,0.16280572,3,acc
8.84E+13,0.090979666,-0.19632454,0.20111294,3,acc
8.84E+13,0.23942018,-0.20829555,0.19153613,3,acc
8.84E+13,0.25617957,-0.15083471,0.18674773,3,acc
8.84E+13,0.17238252,0.009576807,0.09816227,3,acc
8.84E+13,0.10055647,-0.047884032,0.16280572,3,acc
8.84E+13,0.24660277,0.10055647,0.035913024,3,acc
8.84E+13,0.1364695,0.1388637,-0.2896984,3,acc
8.84E+13,0.05267244,0.34955344,-0.35673606,3,acc
8.84E+13,0.002394202,-0.22744916,-0.110133275,3,acc
8.84E+13,-0.15322891,-0.050278235,-0.14604631,3,acc
8.84E+13,0.08140286,0.20829555,-0.1604115,3,acc
8.84E+13,0.062249243,0.045489833,-0.08140286,3,acc
8.84E+13,0.06943185,-0.04070143,0.016759412,3,acc
8.84E+13,0.20829555,-0.24899697,0.08379706,3,acc
8.84E+13,0.29209262,-0.15083471,0.002394202,3,acc
8.84E+13,0.15083471,0.038307227,-0.02873042,3,acc
8.84E+13,0.007182605,0.088585466,-0.110133275,3,acc
8.84E+13,-0.095768064,0.1340753,-0.095768064,3,acc
8.84E+13,-0.18195933,0,-0.14604631,3,acc
8.84E+13,-0.1604115,0.20590134,-0.17238252,3,acc
8.84E+13,-0.31364042,0.19632454,0.009576807,3,acc
8.84E+13,-0.20590134,-0.01436521,0.12689269,3,acc
8.84E+13,-0.02873042,0.16759412,0.009576807,3,acc
8.84E+13,0.11252748,0.29209262,0.095768064,3,acc
8.84E+13,0.09816227,0.107739076,0.08619126,3,acc
8.84E+13,0.088585466,0.021547815,-0.05267244,3,acc
8.84E+13,0.07182605,0.1604115,-0.031124622,3,acc
8.84E+13,0.04070143,0.04070143,-0.09816227,3,acc
8.84E+13,0.04309563,0.05746084,-0.011971008,3,acc
8.84E+13,0.08619126,0.050278235,-0.076614454,3,acc
8.84E+13,0.15322891,0.076614454,-0.050278235,3,acc
8.84E+13,0.16280572,0.045489833,0.019153614,3,acc
8.84E+13,0.12210429,0.095768064,-0.01436521,3,acc
8.84E+13,0.076614454,0.11731588,0,3,acc
8.84E+13,0.10534488,0.1388637,-0.02873042,3,acc
8.84E+13,0.18435353,0.23702596,-0.16759412,3,acc
8.84E+13,0.033518825,0.260968,-0.20111294,3,acc
8.84E+13,0.01436521,0.18435353,-0.17717093,3,acc
