t,x,y,z,a,
1.49E+14,-6.31351,2.8634653,-5.245696,3,acc
1.49E+14,-0.11971009,0.009576807,-0.20350714,3,acc
1.49E+14,0.090979666,-0.004788403,-0.20350714,3,acc
1.49E+14,0.18914193,0.15083471,-0.29448682,3,acc
1.49E+14,0.32321724,0.21787235,-0.17956513,3,acc
1.49E+14,0.2681506,0.12210429,0.02873042,3,acc
1.49E+14,0.19871874,0.088585466,0.14604631,3,acc
1.49E+14,0.17238252,0.079008654,0.39743748,3,acc
1.49E+14,0.19153613,0.045489833,0.5770026,3,acc
1.49E+14,0.18914193,0.02873042,0.63206923,3,acc
1.49E+14,0.30885202,0.17956513,0.37110126,3,acc
1.49E+14,-0.01436521,0.22984336,0.1412579,3,acc
1.49E+14,-0.23463176,0.23942018,0.009576807,3,acc
1.49E+14,-0.076614454,0.25857377,-0.10295067,3,acc
1.49E+14,0.02873042,0.35434186,-0.08379706,3,acc
1.49E+14,0.30406362,0.4261679,-0.14844051,3,acc
1.49E+14,0.41180268,0.36870706,-0.2753332,3,acc
1.49E+14,0.5315128,0.21547815,-0.33039984,3,acc
1.49E+14,0.58897364,-0.002394202,-0.29209262,3,acc
1.49E+14,0.5626374,-0.11252748,-0.19871874,3,acc
1.49E+14,0.37349546,-0.22505496,-0.20829555,3,acc
1.49E+14,0.16998832,-0.2777274,-0.25857377,3,acc
1.49E+14,0.25378537,-0.31603462,-0.090979666,3,acc
1.49E+14,0.4261679,-0.2896984,0.04070143,3,acc
1.49E+14,0.45729253,-0.18674773,0.009576807,3,acc
1.49E+14,0.48362875,-0.20111294,-0.07182605,3,acc
1.49E+14,0.7062895,-0.14844051,0.1412579,3,acc
1.49E+14,0.9672575,-0.08379706,0.1388637,3,acc
1.49E+14,1.0654198,-0.055066638,0.110133275,3,acc
1.49E+14,0.91458505,-0.20111294,0.19632454,3,acc
1.49E+14,0.79008657,-0.25857377,0.2777274,3,acc
1.49E+14,0.7326257,-0.22984336,0.50757074,3,acc
1.49E+14,0.81642276,-0.088585466,0.50757074,3,acc
1.49E+14,0.7206547,-0.033518825,0.4309563,3,acc
1.49E+14,0.39743748,0.107739076,0.2896984,3,acc
1.49E+14,0.050278235,0.20350714,0.2753332,3,acc
1.49E+14,0,0.19393034,0.260968,3,acc
1.49E+14,0.35673606,0.06464344,0.29927522,3,acc
1.49E+14,0.7278373,0.04309563,0.19632454,3,acc
1.49E+14,0.62967503,0.06703765,0.06464344,3,acc
1.49E+14,0.533907,0.016759412,-0.1316811,3,acc
1.49E+14,0.6847417,-0.04309563,-0.28491,3,acc
