t,x,y,z,a,
6.85E+13,-1.8818425,4.996699,-3.5529952,3,acc
6.85E+13,-4.331111,3.6487634,-4.5274353,3,acc
6.85E+13,0.08619126,0,-0.093373865,3,acc
6.85E+13,0.16280572,0.08140286,-0.002394202,3,acc
6.85E+13,0.28491,-0.016759412,-0.023942016,3,acc
6.85E+13,0.36152446,-0.15322891,0.11731588,3,acc
6.85E+13,0.62488663,-0.21308395,-0.01436521,3,acc
6.85E+13,0.7015011,-0.107739076,0.035913024,3,acc
6.85E+13,0.6655881,-0.12928689,0.023942016,3,acc
6.85E+13,0.6799533,0.02633622,-0.033518825,3,acc
6.85E+13,0.61530983,0.110133275,-0.031124622,3,acc
6.85E+13,0.50278234,0.23702596,-0.04070143,3,acc
6.85E+13,0.50038815,0.34955344,-0.095768064,3,acc
6.85E+13,0.5506664,0.40940848,-0.035913024,3,acc
6.85E+13,0.5410896,0.49320555,-0.04309563,3,acc
6.85E+13,0.49081135,0.47165772,0,3,acc
6.85E+13,0.39743748,0.46686932,0.05267244,3,acc
6.85E+13,0.40462008,0.2705448,0.10534488,3,acc
6.85E+13,0.36152446,0.10295067,0.15083471,3,acc
6.85E+13,0.2801216,-0.12210429,0.12689269,3,acc
6.85E+13,0.1364695,-0.23942018,0.20829555,3,acc
6.85E+13,0.06943185,-0.35194764,0.21787235,3,acc
6.85E+13,0.10055647,-0.49320555,0.37110126,3,acc
6.85E+13,0.10055647,-0.6799533,0.2825158,3,acc
6.85E+13,0.15562311,-0.6607997,0.2777274,3,acc
6.85E+13,0.22984336,-0.62009823,0.34476504,3,acc
6.85E+13,0.3184288,-0.545878,0.2657564,3,acc
6.85E+13,0.39983168,-0.44771573,0.260968,3,acc
6.85E+13,0.5410896,-0.4141969,0.23702596,3,acc
6.85E+13,0.6775591,-0.40701428,0.22026655,3,acc
6.85E+13,0.7469909,-0.29448682,0.12449849,3,acc
6.85E+13,0.9672575,-0.22744916,0.004788403,3,acc
6.85E+13,1.2114661,-0.011971008,-0.02873042,3,acc
6.85E+13,1.2665327,0.07182605,-0.15562311,3,acc
6.85E+13,1.5107412,0.21547815,-0.23463176,3,acc
6.85E+13,1.6663644,0.272939,-0.23463176,3,acc
6.85E+13,1.8986019,0.23463176,-0.23702596,3,acc
6.85E+13,1.9967642,0.19871874,-0.24660277,3,acc
6.85E+13,2.1523874,0.038307227,-0.2873042,3,acc
6.85E+13,2.3319526,0.007182605,-0.1364695,3,acc
6.85E+13,2.2385786,-0.16998832,-0.21068975,3,acc
6.85E+13,2.2768857,-0.260968,-0.21308395,3,acc
6.85E+13,2.1811178,-0.2873042,-0.088585466,3,acc
6.85E+13,2.030283,-0.4189853,-0.10295067,3,acc
6.85E+13,1.910573,-0.5243302,-0.050278235,3,acc
6.85E+13,1.757344,-0.6560113,0.007182605,3,acc
6.85E+13,1.6256629,-0.80684596,-0.009576807,3,acc
6.85E+13,1.4437037,-0.7158663,0,3,acc
6.85E+13,1.3311762,-0.7565677,0.06943185,3,acc
6.85E+13,1.3335704,-0.62249243,0.107739076,3,acc
6.85E+13,1.4532804,-0.6368576,0.1388637,3,acc
6.85E+13,1.5777789,-0.59615624,0.016759412,3,acc
6.85E+13,1.7788919,-0.5386954,0.023942016,3,acc
6.85E+13,1.9656396,-0.46926352,-0.062249243,3,acc
6.85E+13,2.0231004,-0.46208093,-0.19393034,3,acc
6.85E+13,1.9776106,-0.35434186,-0.33039984,3,acc
6.85E+13,1.7741034,-0.41180268,-0.48362875,3,acc
6.85E+13,1.4269443,-0.5650316,-0.5410896,3,acc
6.85E+13,0.93852705,-0.6967127,-0.6823475,3,acc
6.85E+13,0.5482722,-0.8523358,-0.79487497,3,acc
6.85E+13,-0.047884032,-0.9911995,-0.89782566,3,acc
6.85E+13,-0.81402856,-1.2449849,-0.90740246,3,acc
6.85E+13,-1.8650831,-1.5059528,-0.7086837,3,acc
6.85E+13,-3.0597897,-1.6927006,-0.4357447,3,acc
6.85E+13,-3.8762126,-1.7908629,-0.31124622,3,acc
6.85E+13,-4.3526587,-1.8435353,-0.28491,3,acc
6.85E+13,-4.8865657,-2.0733786,-0.49081135,3,acc
6.85E+13,-5.8586116,-2.3056161,-0.5243302,3,acc
6.85E+13,-7.398083,-2.5258827,-0.46926352,3,acc
6.85E+13,-8.516175,-2.8491,-0.20350714,3,acc
6.85E+13,-8.451532,-3.016694,0.088585466,3,acc
6.85E+13,-6.543353,-2.89459,0.4429273,3,acc
6.85E+13,-4.3119574,-2.6048915,0.641646,3,acc
6.85E+13,-2.6886885,-2.0638018,0.91937345,3,acc
6.85E+13,-1.673547,-1.6927006,1.079785,3,acc
6.85E+13,-1.1851299,-1.2904748,1.2282255,3,acc
6.85E+13,-1.1755531,-0.6991069,1.1540052,3,acc
6.85E+13,-1.484405,-0.050278235,0.92416185,3,acc
6.85E+13,-2.0901382,0.50038815,0.45729253,3,acc
6.85E+13,-2.5713725,1.055843,0.038307227,3,acc
6.85E+13,-2.896984,1.5394717,-0.35194764,3,acc
6.85E+13,-2.870648,2.042254,-0.1340753,3,acc
6.85E+13,-2.944868,2.9017725,0.581791,3,acc
6.85E+13,-2.873042,3.9121256,0.44532153,3,acc
6.85E+13,-2.0446482,4.2544966,0.842759,3,acc
6.85E+13,-1.6328455,4.596867,0.9720459,3,acc
6.85E+13,-1.1061212,4.6782703,0.92655605,3,acc
