t,x,y,z,a,
1.07E+13,-0.033518825,-0.14844051,0,3,acc
1.07E+13,0.46926352,-1.8028339,0.32561144,3,acc
1.07E+13,0.088585466,0.01436521,-0.019153614,3,acc
1.07E+13,0.11492168,0.074220255,-0.090979666,3,acc
1.07E+13,0.10534488,0.038307227,-0.06464344,3,acc
1.07E+13,0.06464344,0,-0.023942016,3,acc
1.07E+13,0.19871874,0.05267244,-0.023942016,3,acc
1.07E+13,0.10055647,0.088585466,-0.021547815,3,acc
1.07E+13,0.14844051,0,0.019153614,3,acc
1.07E+13,0.09816227,0.10295067,0.004788403,3,acc
1.07E+13,0.09816227,0.090979666,0,3,acc
1.07E+13,0.15801731,0.07182605,-0.031124622,3,acc
1.07E+13,0.15801731,0.062249243,0.007182605,3,acc
1.07E+13,0.1412579,-0.023942016,0,3,acc
1.07E+13,0.08140286,-0.02633622,-0.002394202,3,acc
1.07E+13,0.16519992,0.021547815,-0.023942016,3,acc
1.07E+13,0.11731588,-0.019153614,0.009576807,3,acc
1.07E+13,0.093373865,-0.05746084,0.033518825,3,acc
1.07E+13,0.095768064,-0.076614454,0.093373865,3,acc
1.07E+13,0.10534488,-0.08140286,0.10534488,3,acc
1.07E+13,0.062249243,-0.090979666,0.095768064,3,acc
1.07E+13,0.06703765,-0.004788403,0.02873042,3,acc
1.07E+13,-0.016759412,-0.079008654,0.1388637,3,acc
1.07E+13,0.04070143,-0.02633622,0.11492168,3,acc
1.07E+13,0.02633622,-0.079008654,0.15801731,3,acc
1.07E+13,0.06943185,-0.038307227,0.10055647,3,acc
1.07E+13,0.107739076,-0.011971008,0.08619126,3,acc
1.07E+13,0.17477672,-0.06943185,0.088585466,3,acc
1.07E+13,0.110133275,-0.10534488,0.07182605,3,acc
1.07E+13,0.011971008,-0.090979666,0.088585466,3,acc
1.07E+13,0.04070143,-0.10534488,0.12210429,3,acc
1.07E+13,0.04309563,-0.007182605,0.19632454,3,acc
1.07E+13,0.17956513,-0.016759412,0.1436521,3,acc
1.07E+13,0.06943185,0.093373865,0.14844051,3,acc
1.07E+13,0.009576807,0.035913024,0.12689269,3,acc
1.07E+13,0.06464344,0.007182605,0.093373865,3,acc
1.07E+13,0.047884032,-0.023942016,0.07182605,3,acc
1.07E+13,0.011971008,-0.004788403,0.10055647,3,acc
1.07E+13,-0.023942016,0.12449849,0.15083471,3,acc
1.07E+13,-0.01436521,0.05267244,0.047884032,3,acc
1.07E+13,0.016759412,0.1316811,0.10534488,3,acc
1.07E+13,0.06703765,0.01436521,0.059855044,3,acc
1.07E+13,0.038307227,0.04309563,0.04309563,3,acc
1.07E+13,0.009576807,0.12449849,-0.019153614,3,acc
1.07E+13,0,0.004788403,0,3,acc
1.07E+13,-0.016759412,0.05267244,0,3,acc
1.07E+13,0.009576807,0.062249243,-0.04070143,3,acc
1.07E+13,-0.12689269,0.007182605,0.023942016,3,acc
1.07E+13,-0.016759412,0.002394202,-0.06943185,3,acc
1.07E+13,-0.074220255,0.076614454,-0.019153614,3,acc
1.07E+13,-0.076614454,0.08140286,-0.033518825,3,acc
1.07E+13,0,0.09816227,-0.045489833,3,acc
1.07E+13,-0.023942016,0.15562311,-0.079008654,3,acc
1.07E+13,0,0.093373865,-0.038307227,3,acc
1.07E+13,0.07182605,0.10055647,-0.08379706,3,acc
1.07E+13,0.002394202,0.11971009,-0.06703765,3,acc
1.07E+13,0.031124622,0.107739076,-0.045489833,3,acc
1.07E+13,0.038307227,0.14604631,-0.004788403,3,acc
1.07E+13,-0.023942016,0.16998832,-0.019153614,3,acc
1.07E+13,0.02633622,0.110133275,-0.033518825,3,acc
1.07E+13,-0.019153614,0.074220255,-0.02873042,3,acc
1.07E+13,0.011971008,0.093373865,-0.009576807,3,acc
1.07E+13,-0.023942016,0.093373865,-0.004788403,3,acc
1.07E+13,-0.06943185,0.1364695,-0.016759412,3,acc
1.07E+13,0.011971008,0.06943185,-0.08140286,3,acc
1.07E+13,-0.004788403,0.05267244,-0.08140286,3,acc
1.07E+13,0.06703765,0.05746084,-0.05746084,3,acc
1.07E+13,0.007182605,-0.016759412,-0.02873042,3,acc
1.07E+13,-0.011971008,0.016759412,-0.02873042,3,acc
1.07E+13,0.004788403,0.004788403,-0.004788403,3,acc
1.07E+13,0,0.021547815,-0.019153614,3,acc
1.07E+13,-0.031124622,0.02873042,-0.08140286,3,acc
1.07E+13,-0.059855044,0.02633622,-0.02873042,3,acc
1.07E+13,-0.050278235,-0.05267244,-0.02633622,3,acc
1.07E+13,-0.1364695,-0.05267244,-0.047884032,3,acc
1.07E+13,-0.07182605,-0.055066638,-0.02633622,3,acc
1.07E+13,-0.009576807,-0.10295067,0.021547815,3,acc
1.07E+13,-0.004788403,-0.079008654,-0.06943185,3,acc
1.07E+13,-0.062249243,-0.016759412,-0.02873042,3,acc
1.07E+13,-0.11252748,-0.11492168,-0.01436521,3,acc
1.07E+13,-0.045489833,-0.12210429,-0.004788403,3,acc
1.07E+13,-0.090979666,-0.074220255,0.011971008,3,acc
1.07E+13,0.06703765,-0.088585466,0,3,acc
1.07E+13,0.079008654,-0.038307227,-0.019153614,3,acc
1.07E+13,0.14844051,-0.01436521,-0.009576807,3,acc
1.07E+13,0.06703765,-0.10534488,0.002394202,3,acc
1.07E+13,-0.002394202,-0.1436521,-0.076614454,3,acc
1.07E+13,0.06943185,-0.12689269,-0.004788403,3,acc
1.07E+13,0.045489833,-0.021547815,-0.033518825,3,acc
1.07E+13,0.06943185,0.021547815,0.002394202,3,acc
1.07E+13,0.045489833,0.009576807,-0.004788403,3,acc
1.07E+13,-0.007182605,-0.031124622,0.07182605,3,acc
